id,area,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax
0,5737176,0,0,3069,4095
2,74624,438,2026,801,2329
4,104480,2270,1942,2685,2277
5,53744,802,2134,1137,2381
6,71232,1222,2654,1577,2981
7,27672,0,3682,173,3857
8,767504,126,286,1025,1237
9,1617600,1150,506,2905,2269
10,30640,2394,2010,2585,2205
11,725456,346,1862,1305,3869
12,78416,178,2722,1005,3029
13,78272,482,1758,1313,2089
14,28224,1542,2546,1721,2777
15,358752,790,2998,1301,3845
16,724896,350,2998,1305,3869
17,375488,158,286,1025,773
19,72992,618,1450,1317,1933
21,57872,1042,2286,1673,2649
22,39392,1446,3326,1953,3537
23,44336,1122,582,1585,885
25,5680,174,2718,249,2825
26,5792,1030,2554,1113,2657
27,239984,1998,2798,2793,3217
28,350192,350,3046,853,3865
29,90816,1822,3118,2905,3333
30,5408,1446,3454,1529,3545
31,5616,918,2946,1009,3025
32,4400,2882,3098,2941,3201
33,5056,2830,1514,2921,1625
34,4944,1942,2198,2033,2301
36,57184,978,842,1329,1137
39,474432,1902,1942,2765,2873
40,31376,1002,2746,1209,3013
